       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
MRC1   	0.0015953	0.001532	0.00061212	0.28044	0.0034036	0.0025877	0.0027821	0.002413	0.0022642	0.0032535	0.0032535	0.0024046	0.0017317	0.0027877	0.0023975	0.0024075	0.0028137	0.0010183	0.0012405	0.0015325	0.00097132	0.0016584	0.0025183	0.0015867	0.0011152	0.0017558	0.0009805	0.0028533	0.0030462	0.0030342	0.0029872	0.0027815	0.002159	0.002811	0.0031257	0.0030378	0.0028033	0.003618	0.0033884	0.0026978	0.00154	0.0028098	0.0020491	0.0025548	0.0020788	0.0028086	0.0022723	0.0021472	0.0020822	0.0026102	0.0028484	0.0025754	0.0022188	0.0026696	0.001671	0.0018391	0.00086424	0.0034542	0.0020655	0.33023	0.001355	0.0018719	0.00084801	0.00033729	0.0019722	0.21717	0.0016174	0.0019338	0.0021407	0.0017835	0.0022809	0.010262	0.0030675	0.0022716	0.0021595	0.001948	0.0021913   
MS4A2  	0.014074	0.0088398	0.004465	0.001355	0.010642	0.01132	0.011299	0.011363	0.01124	0.011441	0.011441	0.0113	0.0096556	0.011273	0.011284	0.010865	0.011397	0.007308	0.0069648	0.010499	0.0079787	0.0098286	0.011363	0.01026	0.0077419	0.0095465	0.11376	0.011469	0.012046	0.011763	0.010968	0.011587	0.010327	0.011597	0.011485	0.01195	0.011646	0.013697	0.013027	0.011311	0.0090364	0.011273	0.010389	0.011397	0.011214	0.011957	0.011388	0.011316	0.011961	0.015743	0.017492	0.011218	0.011969	0.011585	0.010909	0.01049	0.0069099	0.011647	0.010413	0.001355	0.10458	0.0092117	0.0052804	0.0026134	0.011196	0.0037291	0.0092597	0.010631	0.010562	0.011767	0.011512	0.011595	0.011462	0.011356	0.011524	0.011357	0.011323                                                               
PDCD1  	0.008895	0.010614	0.0069575	0.0018719	0.013745	0.012831	0.013309	0.013667	0.013255	0.012808	0.012808	0.013402	0.01157	0.012971	0.013274	0.012784	0.014491	0.0083941	0.008264	0.011215	0.0087853	0.011889	0.01318	0.011823	0.0089446	0.011131	0.0075642	0.01453	0.014119	0.012192	0.020676	0.015732	0.016063	0.016707	0.014751	0.014372	0.013476	0.013648	0.013681	0.014008	0.011302	0.013736	0.012929	0.014297	0.012779	0.013863	0.013344	0.013027	0.012799	0.013363	0.013225	0.013266	0.01298	0.013299	0.011684	0.011967	0.0080137	0.015812	0.01326	0.0018719	0.0092117	0.071258	0.0067667	0.0031331	0.013182	0.0048359	0.010804	0.011959	0.014379	0.011768	0.013348	0.013806	0.014768	0.013865	0.016109	0.016251	0.013339                                                             
PMCH   	0.0058147	0.0085205	0.0030509	0.00084801	0.009681	0.0091541	0.009269	0.009208	0.0093288	0.0096911	0.0096911	0.0092217	0.0077176	0.0093342	0.0093817	0.0094644	0.0090667	0.0072623	0.0048578	0.0068016	0.0055747	0.0076113	0.0090735	0.0074439	0.0062168	0.0094579	0.0041962	0.0091571	0.0094104	0.0091762	0.0088551	0.0089302	0.0075412	0.0090145	0.0092453	0.0091871	0.0090504	0.0077126	0.0081387	0.0092014	0.01055	0.009342	0.01011	0.0092031	0.0097017	0.0091073	0.0090769	0.0096966	0.0089434	0.0088365	0.0087459	0.017041	0.0094824	0.008911	0.0074644	0.0083358	0.0056008	0.0082557	0.0078661	0.00084801	0.0052804	0.0067667	0.37946	0.0016361	0.0078902	0.0025754	0.0094757	0.0093194	0.0079374	0.010335	0.0088874	0.0089487	0.0091983	0.0091906	0.0077475	0.0074875	0.0091824  
POSTN  	0.0024295	0.003319	0.0015922	0.00033729	0.0040419	0.00503	0.0048764	0.004942	0.0043914	0.0049315	0.0049315	0.0052343	0.0032433	0.0048057	0.0044018	0.0042276	0.0045447	0.0020885	0.19242	0.0048584	0.0027029	0.0035627	0.0050786	0.0035433	0.0026455	0.0034304	0.0018991	0.0049059	0.0048602	0.0039301	0.0041831	0.0051197	0.0035931	0.0052275	0.0044426	0.0049926	0.011399	0.0053279	0.0065226	0.0051546	0.0035668	0.0054557	0.0040186	0.0053983	0.0060248	0.0054714	0.0052814	0.0052497	0.0042843	0.0049266	0.0053659	0.0048578	0.0054779	0.013216	0.0039172	0.0045453	0.0022186	0.0041548	0.0047769	0.00033729	0.0026134	0.0031331	0.0016361	0.48256	0.004043	0.0012405	0.0032435	0.0039546	0.0040047	0.0031765	0.0048677	0.0051356	0.0048859	0.0050931	0.0036862	0.0034956	0.0055198
PPARG  	0.01073	0.012432	0.014222	0.0019722	0.014234	0.013877	0.014031	0.014229	0.0141	0.01396	0.01396	0.013972	0.013959	0.013916	0.014111	0.014028	0.014065	0.011403	0.0094449	0.013418	0.01166	0.014025	0.013851	0.013837	0.011582	0.013141	0.010001	0.01423	0.013974	0.01346	0.014039	0.014072	0.013887	0.014017	0.014153	0.014069	0.013871	0.013803	0.013915	0.014239	0.013514	0.013968	0.014034	0.014249	0.013954	0.013966	0.013927	0.014042	0.013827	0.013835	0.013605	0.01375	0.01395	0.01375	0.013451	0.013248	0.010747	0.014173	0.014478	0.0019722	0.011196	0.013182	0.0078902	0.004043	0.016358	0.0049629	0.012974	0.013432	0.016606	0.013011	0.014096	0.013686	0.014299	0.01412	0.013977	0.013813	0.014029                                                                           
RETNLB 	0.0042873	0.0040622	0.0020655	0.21717	0.0065367	0.0054858	0.0057458	0.0054116	0.0052805	0.0063232	0.0063232	0.0053779	0.0046785	0.0057515	0.0054383	0.0054578	0.0057868	0.0032704	0.0033292	0.0041641	0.0031367	0.0045432	0.00542	0.0043936	0.0033334	0.004504	0.0029848	0.0058519	0.0060433	0.0059914	0.0060045	0.0057641	0.0052791	0.0057808	0.0061538	0.0060352	0.0057565	0.006834	0.0064538	0.005664	0.0042721	0.0057546	0.00508	0.0055892	0.0050487	0.0057716	0.0052239	0.0051561	0.0050028	0.0055414	0.0057787	0.0054939	0.0052294	0.0055696	0.0044101	0.004567	0.0028649	0.0065846	0.0049109	0.21717	0.0037291	0.0048359	0.0025754	0.0012405	0.0049629	0.18659	0.0043022	0.0047646	0.0052237	0.0046648	0.0052445	0.012255	0.006088	0.005253	0.0052234	0.0049699	0.005183         
RNASE2 	0.010017	0.012185	0.0061643	0.0016174	0.012673	0.01514	0.013449	0.01339	0.013434	0.013279	0.013279	0.01382	0.012776	0.0143	0.013358	0.013544	0.013024	0.049994	0.0082226	0.011644	0.010464	0.012289	0.014458	0.013141	0.011375	0.027323	0.0077717	0.012917	0.012691	0.013262	0.012448	0.012992	0.011713	0.01291	0.012715	0.012924	0.013048	0.0123	0.012737	0.013051	0.012196	0.013052	0.012624	0.012994	0.013158	0.013588	0.013759	0.013132	0.013146	0.013045	0.012791	0.01393	0.013578	0.012964	0.012455	0.01253	0.010141	0.012373	0.012396	0.0016174	0.0092597	0.010804	0.0094757	0.0032435	0.012974	0.0043022	0.030938	0.022531	0.012393	0.011926	0.013012	0.012797	0.012773	0.013114	0.0122	0.011866	0.013081                                                                       
RNASE3 	0.010935	0.012523	0.0071405	0.0019338	0.013299	0.014491	0.013667	0.013623	0.013682	0.013622	0.013622	0.013833	0.013366	0.014123	0.013645	0.013749	0.013441	0.033782	0.0090511	0.012464	0.011361	0.013086	0.014152	0.013754	0.011792	0.021079	0.0093856	0.013392	0.013234	0.013443	0.013135	0.013391	0.012681	0.013337	0.013271	0.013366	0.013373	0.013065	0.013322	0.013426	0.012694	0.013409	0.013218	0.013429	0.013467	0.013744	0.013828	0.0135	0.013522	0.013388	0.01321	0.013832	0.013788	0.013298	0.013013	0.012943	0.010885	0.013125	0.012862	0.0019338	0.010631	0.011959	0.0093194	0.0039546	0.013432	0.0047646	0.022531	0.018536	0.013171	0.012675	0.013438	0.013172	0.013308	0.013455	0.013125	0.012923	0.01348                                                                
RORC   	0.010192	0.011972	0.0087429	0.0021407	0.014865	0.013865	0.014104	0.01434	0.014167	0.014	0.014	0.014022	0.013507	0.013916	0.014193	0.014007	0.014311	0.010245	0.0094839	0.012695	0.01051	0.013721	0.013875	0.01342	0.01062	0.012653	0.0090608	0.014684	0.014383	0.013365	0.014641	0.014409	0.01482	0.014328	0.014693	0.014454	0.014049	0.014081	0.014159	0.014576	0.013832	0.014206	0.014459	0.014749	0.014173	0.014176	0.013975	0.014269	0.013763	0.013965	0.013711	0.013893	0.013995	0.013885	0.013032	0.012961	0.0096608	0.014939	0.014031	0.0021407	0.010562	0.014379	0.0079374	0.0040047	0.016606	0.0052237	0.012393	0.013171	0.019075	0.013227	0.014202	0.013968	0.014905	0.014231	0.014548	0.014296	0.014189                                                                      
