       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL24  	0.013491	0.01368	0.011185	0.006533	0.01043	0.012638	0.012615	0.012564	0.0125	0.012717	0.013245	0.01298	0.012663	0.013584	0.012857	0.0129	0.012922	0.012564	0.009819	0.013348	0.013119	0.011624	0.010317	0.012541	0.012585	0.012621	0.01034	0.013117	0.010086	0.012624	0.012588	0.013189	0.012568	0.012583	0.01257	0.012481	0.012617	0.012713	0.012538	0.012728	0.012663	0.012508	0.012487	0.012525	0.012511	0.012615	0.012635	0.012624	0.012607	0.010368	0.012621	0.012508	0.01254	0.012623	0.012478	0.012703	0.012548	0.012134	0.011944	0.0093249	0.012605	0.011957	0.01045	0.011598	0.012396	0.0086935	0.013348	0.012521	0.01326	0.0098492	0.013083	0.012968	0.012642	0.012423	0.0086935	0.012522	0.012577	0.012611	0.012509	0.012531	0.012409	0.012602                                                                               
CCL26  	0.012246	0.011682	0.011292	0.0067253	0.010736	0.01288	0.012588	0.012702	0.012624	0.012859	0.01298	0.013502	0.012654	0.013819	0.012885	0.013063	0.013005	0.012728	0.01015	0.011303	0.011892	0.011895	0.010681	0.012821	0.012566	0.012869	0.010408	0.01216	0.010867	0.012797	0.012798	0.01273	0.012796	0.012741	0.012811	0.012638	0.012789	0.012671	0.012661	0.013094	0.012854	0.012663	0.012618	0.012662	0.012763	0.012774	0.012796	0.01273	0.012651	0.010735	0.012779	0.012693	0.01269	0.01276	0.012539	0.012831	0.012635	0.012337	0.012085	0.0094356	0.012844	0.012125	0.010746	0.012245	0.01273	0.0087807	0.011303	0.012724	0.011553	0.010167	0.011956	0.012155	0.012864	0.012738	0.0087807	0.012699	0.012683	0.012793	0.012666	0.012805	0.012738	0.012768                                                                            
CCL5   	0.012097	0.011799	0.011948	0.0092034	0.010485	0.012622	0.012548	0.012483	0.012457	0.012605	0.012663	0.012654	0.012559	0.012859	0.012608	0.012639	0.012624	0.012555	0.0098979	0.012942	0.012815	0.012301	0.011749	0.012748	0.012553	0.012703	0.011554	0.01278	0.0098787	0.012571	0.012553	0.012471	0.012581	0.012552	0.012606	0.012464	0.012559	0.012483	0.012458	0.01259	0.012614	0.012511	0.012601	0.012522	0.012634	0.012569	0.012609	0.012581	0.012577	0.011147	0.012593	0.012577	0.012477	0.012506	0.01239	0.012642	0.012545	0.012444	0.012297	0.010993	0.012553	0.012266	0.010533	0.011432	0.012619	0.0083577	0.012942	0.012624	0.012907	0.0098801	0.012801	0.012743	0.012654	0.012365	0.0083577	0.01253	0.012443	0.01256	0.01253	0.012637	0.012627	0.012589                                                                       
CCL8   	0.011582	0.010962	0.010894	0.0060808	0.010475	0.012994	0.012737	0.013007	0.012816	0.013292	0.013584	0.013819	0.012859	0.022404	0.013672	0.014262	0.014128	0.012782	0.0096318	0.010752	0.011593	0.011534	0.010044	0.013499	0.012644	0.01297	0.0098885	0.012084	0.008806	0.01294	0.012704	0.012991	0.012737	0.012805	0.012401	0.012647	0.012755	0.012585	0.012678	0.012825	0.012806	0.01277	0.012218	0.012648	0.012374	0.012806	0.012712	0.012784	0.012743	0.012174	0.012751	0.012704	0.01271	0.012753	0.01257	0.013039	0.01269	0.012249	0.011991	0.0087398	0.012683	0.012056	0.010509	0.010926	0.012398	0.0073063	0.010752	0.012807	0.011098	0.0098878	0.011698	0.011975	0.012766	0.012049	0.0073063	0.013269	0.013019	0.012815	0.012662	0.012624	0.012391	0.012906                                                                      
CCR3   	0.012607	0.012399	0.011542	0.0072139	0.010657	0.012706	0.012576	0.012587	0.012519	0.012725	0.012857	0.012885	0.012608	0.013672	0.012764	0.01284	0.012826	0.012606	0.010083	0.012532	0.012597	0.011975	0.011026	0.012918	0.012567	0.012857	0.010902	0.012657	0.010135	0.01265	0.012618	0.012739	0.012634	0.012611	0.012638	0.012519	0.012632	0.012607	0.012532	0.012758	0.012688	0.012553	0.012587	0.012555	0.0126	0.012638	0.012665	0.012638	0.012613	0.010928	0.012645	0.012615	0.012547	0.012615	0.012445	0.012749	0.012571	0.012333	0.012134	0.010076	0.012629	0.012088	0.010706	0.011662	0.012593	0.0084418	0.012532	0.012624	0.012573	0.010103	0.0126	0.012609	0.012706	0.012429	0.0084418	0.012615	0.012558	0.012637	0.012552	0.01266	0.012605	0.012663                                                                           
CCR4   	0.011827	0.011316	0.011524	0.007339	0.010655	0.012862	0.012596	0.012704	0.01261	0.012867	0.0129	0.013063	0.012639	0.014262	0.01284	0.013025	0.012963	0.012715	0.010028	0.011507	0.011992	0.011969	0.01086	0.013267	0.012564	0.012776	0.010833	0.012227	0.010013	0.012778	0.012757	0.012578	0.01279	0.012715	0.012753	0.012613	0.012742	0.01259	0.012595	0.012826	0.012791	0.012679	0.01281	0.012647	0.012813	0.012744	0.012788	0.012702	0.012636	0.011437	0.012763	0.012666	0.012625	0.012646	0.01251	0.012776	0.012622	0.012347	0.012161	0.0099572	0.012784	0.012183	0.010747	0.011581	0.012845	0.0085754	0.011507	0.012792	0.011719	0.010056	0.012057	0.012218	0.012873	0.012625	0.0085754	0.012747	0.012639	0.012756	0.012646	0.012834	0.012843	0.012797                                                                             
CCR8   	0.01282	0.012718	0.011551	0.0071675	0.010544	0.012784	0.012582	0.012653	0.012567	0.012818	0.012922	0.013005	0.012624	0.014128	0.012826	0.012963	0.012941	0.012657	0.0099099	0.011734	0.012116	0.011972	0.01096	0.013221	0.012551	0.012812	0.010902	0.01232	0.0099696	0.012717	0.012677	0.01287	0.012702	0.012661	0.012658	0.012559	0.012686	0.01268	0.012553	0.012749	0.012731	0.01262	0.012637	0.0126	0.012658	0.012692	0.012711	0.012661	0.012613	0.011375	0.012693	0.012638	0.012585	0.012653	0.012476	0.012764	0.012589	0.012344	0.012152	0.010062	0.01269	0.012122	0.010628	0.011547	0.012681	0.0085232	0.011734	0.012708	0.011908	0.009942	0.012171	0.012294	0.012791	0.01248	0.0085232	0.012703	0.0126	0.012699	0.012593	0.012727	0.012693	0.012736                                                                              
CD40LG 	0.011618	0.011013	0.011607	0.0091878	0.010705	0.013035	0.012492	0.012599	0.012556	0.012731	0.012564	0.012728	0.012555	0.012782	0.012606	0.012715	0.012657	0.012806	0.010066	0.011226	0.011785	0.012268	0.011471	0.012942	0.012529	0.012883	0.010895	0.011997	0.010148	0.012816	0.012804	0.012307	0.013016	0.012741	0.012861	0.012667	0.012759	0.012569	0.01256	0.012824	0.012776	0.012673	0.012582	0.012648	0.012861	0.012764	0.012739	0.012723	0.012616	0.011479	0.012733	0.012768	0.012627	0.012625	0.012452	0.012726	0.01261	0.012483	0.012238	0.010171	0.012866	0.01237	0.010692	0.011663	0.01367	0.0083304	0.011226	0.012785	0.011474	0.010084	0.01185	0.012065	0.012927	0.012749	0.0083304	0.01268	0.01256	0.012792	0.012662	0.013303	0.013732	0.0128                                                                             
CHIA   	0.0071682	0.0064436	0.0071237	0.0041469	0.066192	0.0097018	0.0096107	0.013152	0.012448	0.010277	0.009819	0.01015	0.0098979	0.0096318	0.010083	0.010028	0.0099099	0.010066	0.086445	0.0064578	0.008291	0.0076243	0.0058114	0.009368	0.0096521	0.0083986	0.0059267	0.0080534	0.0059161	0.010139	0.0099118	0.0091171	0.0097952	0.010059	0.010225	0.012223	0.010331	0.0099499	0.012197	0.010391	0.010092	0.0098625	0.0080882	0.010091	0.0087177	0.0099046	0.0095171	0.0098501	0.0095825	0.0063019	0.0098688	0.0088854	0.0097329	0.0097185	0.0095224	0.0090788	0.0099505	0.0083452	0.0085797	0.0049607	0.0095776	0.0093893	0.066124	0.0082629	0.0090197	0.004142	0.0064578	0.0092611	0.0068943	0.079933	0.0077124	0.0081702	0.0092624	0.0080886	0.004142	0.0094416	0.013719	0.010072	0.0099854	0.0089557	0.0085751	0.010031                  
CLC    	0.0084096	0.0075697	0.0098341	0.0045309	0.0072561	0.010542	0.013093	0.011364	0.011359	0.01141	0.013348	0.011303	0.012942	0.010752	0.012532	0.011507	0.011734	0.011226	0.0064578	0.041279	0.029636	0.0097137	0.007945	0.0097056	0.013395	0.011385	0.0088263	0.025285	0.006414	0.011014	0.010698	0.011191	0.010585	0.011212	0.0099647	0.011059	0.010855	0.010707	0.011724	0.010426	0.011184	0.011104	0.010726	0.011214	0.01018	0.011175	0.011278	0.012079	0.012784	0.0073645	0.011341	0.011282	0.011362	0.011166	0.012007	0.011992	0.012164	0.010811	0.010833	0.007359	0.010488	0.010583	0.0072618	0.0086531	0.0095415	0.0062741	0.040367	0.010635	0.035894	0.0064222	0.028093	0.024045	0.010259	0.0095916	0.0062741	0.01108	0.011595	0.010839	0.011288	0.010313	0.0096498	0.011256                                                       
CLCA1  	0.009623	0.008863	0.010471	0.005543	0.0089179	0.01142	0.012891	0.011856	0.011834	0.011914	0.013119	0.011892	0.012815	0.011593	0.012597	0.011992	0.012116	0.011785	0.008291	0.029636	0.02306	0.010685	0.0092645	0.010835	0.013085	0.011944	0.0095548	0.020349	0.0078165	0.011668	0.011474	0.011651	0.011412	0.01178	0.011092	0.011664	0.011581	0.011415	0.012072	0.011422	0.011816	0.011686	0.011466	0.011759	0.011167	0.011768	0.011853	0.012319	0.012733	0.0086961	0.01188	0.011818	0.011836	0.011732	0.012176	0.012292	0.01235	0.01145	0.011356	0.0083112	0.011353	0.011201	0.0088975	0.0098613	0.010759	0.0068853	0.029636	0.011425	0.026858	0.00827	0.022053	0.019584	0.011238	0.010706	0.0068853	0.011672	0.011996	0.011563	0.011812	0.011254	0.010821	0.011815                                                                    
CMA1   	0.0098157	0.0088345	0.013629	0.014123	0.0084653	0.011846	0.012209	0.011915	0.012307	0.012	0.011624	0.011895	0.012301	0.011534	0.011975	0.011969	0.011972	0.012268	0.0076243	0.0097137	0.010685	0.024988	0.039799	0.011421	0.012479	0.012676	0.014191	0.011042	0.0094708	0.012071	0.011886	0.011265	0.011917	0.012246	0.011509	0.012086	0.011928	0.011721	0.011982	0.01187	0.012293	0.012106	0.011329	0.012178	0.011497	0.012113	0.012103	0.012271	0.012704	0.0099582	0.012054	0.013359	0.012485	0.012336	0.011886	0.012424	0.013067	0.018473	0.015666	0.014619	0.011769	0.014045	0.0085769	0.010898	0.011605	0.0063351	0.0097137	0.01263	0.010175	0.0075362	0.010831	0.011251	0.011935	0.011256	0.0063351	0.012553	0.011738	0.011993	0.012724	0.012105	0.011716	0.012106                                                                
CPA3   	0.0081175	0.0069307	0.014922	0.0088596	0.0066982	0.010504	0.01161	0.010964	0.011762	0.010952	0.010317	0.010681	0.011749	0.010044	0.011026	0.01086	0.01096	0.011471	0.0058114	0.007945	0.0092645	0.039799	0.09076	0.0098866	0.012236	0.012201	0.016384	0.0097731	0.0073695	0.011062	0.010656	0.0099809	0.010661	0.011485	0.0098448	0.01124	0.010753	0.0106	0.011079	0.010512	0.01139	0.011192	0.0096882	0.011356	0.0098322	0.011177	0.011073	0.011564	0.012703	0.0084899	0.010999	0.014098	0.01216	0.011872	0.011096	0.011795	0.013456	0.027326	0.020254	0.01761	0.010382	0.014566	0.0068843	0.0092528	0.0098985	0.0050709	0.007945	0.011623	0.0085899	0.0056995	0.0094889	0.010131	0.01046	0.0095026	0.0050709	0.012346	0.01067	0.010893	0.012435	0.010948	0.010101	0.011182                                                            
CRLF2  	0.010135	0.0092211	0.010617	0.0058583	0.010066	0.012941	0.012601	0.0145	0.012805	0.015333	0.012541	0.012821	0.012748	0.013499	0.012918	0.013267	0.013221	0.012942	0.009368	0.0097056	0.010835	0.011421	0.0098866	0.036553	0.012581	0.012923	0.009522	0.011329	0.0083718	0.012972	0.012535	0.011991	0.012726	0.012795	0.012068	0.012562	0.012581	0.012275	0.012607	0.012313	0.012743	0.012781	0.01215	0.01256	0.012312	0.012844	0.01299	0.012729	0.012735	0.012669	0.013093	0.012704	0.012653	0.012523	0.012467	0.012875	0.012775	0.012229	0.011907	0.0083848	0.012425	0.011964	0.010842	0.010519	0.012572	0.0069199	0.0097056	0.012772	0.010188	0.0093865	0.011017	0.011446	0.012603	0.011598	0.0069199	0.013909	0.012659	0.012705	0.012574	0.012753	0.013268	0.015175                                                                  
CSF2   	0.011595	0.011072	0.012429	0.0085269	0.010268	0.012577	0.012571	0.012428	0.012423	0.012546	0.012585	0.012566	0.012553	0.012644	0.012567	0.012564	0.012551	0.012529	0.0096521	0.013395	0.013085	0.012479	0.012236	0.012581	0.012596	0.012923	0.012253	0.012976	0.0098364	0.012524	0.012501	0.012266	0.012532	0.012521	0.012514	0.012424	0.012505	0.012374	0.012426	0.012539	0.012582	0.01248	0.012502	0.012516	0.012589	0.012534	0.01257	0.01258	0.012613	0.011326	0.012563	0.012638	0.012454	0.01248	0.012377	0.012693	0.012558	0.012569	0.012469	0.011972	0.012492	0.012216	0.010292	0.011413	0.012555	0.0082079	0.013395	0.012565	0.013303	0.0096336	0.013052	0.012933	0.012577	0.012284	0.0082079	0.012529	0.01239	0.012512	0.012519	0.012607	0.012571	0.01255                                                                       
CSF3R  	0.011583	0.010496	0.011751	0.0066574	0.009289	0.01294	0.012687	0.01262	0.012624	0.012794	0.012621	0.012869	0.012703	0.01297	0.012857	0.012776	0.012812	0.012883	0.0083986	0.011385	0.011944	0.012676	0.012201	0.012923	0.012923	0.01742	0.010963	0.012257	0.0096286	0.012806	0.012693	0.01231	0.012782	0.012787	0.012464	0.012659	0.012706	0.01256	0.012619	0.012887	0.01293	0.012735	0.012245	0.012688	0.012443	0.012846	0.012767	0.013038	0.013182	0.012401	0.012768	0.013804	0.012714	0.013092	0.012533	0.014125	0.012871	0.013196	0.012575	0.010169	0.012619	0.012297	0.0092977	0.011743	0.012683	0.0074023	0.011385	0.012816	0.011717	0.0083563	0.012068	0.012328	0.012772	0.012042	0.0074023	0.013202	0.012535	0.012794	0.012814	0.013071	0.012745	0.012865                                                                       
CYSLTR1	0.0080849	0.0072775	0.041691	0.0059646	0.0067312	0.010156	0.013389	0.010776	0.011461	0.010847	0.01034	0.010408	0.011554	0.0098885	0.010902	0.010833	0.010902	0.010895	0.0059267	0.0088263	0.0095548	0.014191	0.016384	0.009522	0.012253	0.010963	0.065898	0.010319	0.006251	0.010604	0.010326	0.010192	0.010231	0.011099	0.0096394	0.010718	0.010569	0.010396	0.010699	0.0098167	0.01071	0.010892	0.011068	0.012623	0.010462	0.010757	0.010997	0.010881	0.011652	0.0077627	0.011124	0.011971	0.010992	0.010775	0.011489	0.011283	0.011623	0.013151	0.020669	0.074993	0.010076	0.011689	0.0069868	0.0082147	0.0093886	0.0059465	0.0088263	0.011011	0.0093494	0.005858	0.010254	0.010467	0.010149	0.0092679	0.0059465	0.011174	0.010439	0.010558	0.011817	0.010096	0.0094193	0.010713                                                     
EPX    	0.010366	0.0097404	0.011009	0.0059289	0.0088002	0.011738	0.01285	0.012021	0.012	0.012128	0.013117	0.01216	0.01278	0.012084	0.012657	0.012227	0.01232	0.011997	0.0080534	0.025285	0.020349	0.011042	0.0097731	0.011329	0.012976	0.012257	0.010319	0.018419	0.008134	0.011916	0.011764	0.011965	0.011714	0.011991	0.011397	0.011857	0.011835	0.011708	0.012165	0.011663	0.012036	0.011917	0.01192	0.01198	0.011559	0.011992	0.01209	0.012408	0.012725	0.0092216	0.012089	0.012056	0.012016	0.011955	0.012292	0.012452	0.012416	0.011709	0.011643	0.0092481	0.011676	0.011437	0.0088268	0.010134	0.011184	0.0079374	0.025285	0.01175	0.023225	0.0080345	0.019661	0.017822	0.011606	0.011166	0.0079374	0.011924	0.012101	0.011833	0.012015	0.011603	0.011245	0.012033                                                                       
FCER1A 	0.0084113	0.0069767	0.0073646	0.0037629	0.0062186	0.0093032	0.0097744	0.0098875	0.0098985	0.0099476	0.010086	0.010867	0.0098787	0.008806	0.010135	0.010013	0.0099696	0.010148	0.0059161	0.006414	0.0078165	0.0094708	0.0073695	0.0083718	0.0098364	0.0096286	0.006251	0.008134	0.18789	0.010159	0.010396	0.0095607	0.010073	0.010193	0.0094315	0.01007	0.010272	0.010069	0.012028	0.011527	0.010842	0.009919	0.00832	0.01002	0.0088546	0.010308	0.010271	0.01034	0.0099881	0.0064849	0.01021	0.010295	0.015215	0.013088	0.0097188	0.0097954	0.010148	0.01007	0.0092416	0.0053276	0.010289	0.0092218	0.0061743	0.080263	0.0091559	0.0041942	0.006414	0.009877	0.0068794	0.0054066	0.0077341	0.0086932	0.0095093	0.010386	0.0041942	0.0099669	0.0099681	0.010355	0.01019	0.010155	0.010073	0.010113                                       
